festival_name,genre,city,state,start_date,end_date,description
Ziro Festival of Music,Music,Ziro Valley,Arunachal Pradesh,26 Sep 2024,29 Sep 2024,"Held amidst the spectacular Ziro Valley in September, this four-day annual festival is hosted by the local Apatani tribe, known for their closeness to nature. With an infrastructure built almost entirely of locally-sourced bamboo and a strong emphasis on eco-friendly practices, Ziro Festival of Music is a one-of-its-kind event. The carefully-curated line-up brings together over 40 of the best independent music acts from across the region, country and world."
Zindagi Mubarak,Multiarts,Dehradun,Uttarakhand,15 Aug 2024,17 Aug 2024,"Zindagi Mubarak is a three day zero waste festival held in the picturesque mountains of Uttarakhand, curated by Ishqestan and Kaarkhana. It has been started with a noble intent to create a platform for the local artists and the artisans; employment opportunities for the villagers and to celebrate this very gift that is life. Immersive musical concerts, workshops, barefoot nature walks, sharing sessions, yoga and meditation, open mic sessions, bathing in the fresh waters, experience of living in the mountains, magical sunrises, moonrises, sunsets and winding pathways, are some of the highlights of this holistic festival."
World Jazz Festival,Music,Delhi Mumbai Bengaluru Pune,Andhra Pradesh,04 Apr 2025,13 Apr 2025,"Events companyBanyan Treelaunched the World Jazz Festival in February 2020 with the intent to showcase and celebrate jazz and world music in India. The festival, held in association with the Amersfoort Jazz Festival in the Netherlands, features artists from around the globe."
Wahyum Festival of Arts and Music,Music,Imphal,Manipur,16 Dec 2022,18 Dec 2022,"Launched in 2021, the annual three-day Wahyum Festival of Arts and Music is named after its venue, the Wahyum Eco Resort. The spot was specifically chosen for its location, the scenic village of Taorem, which is away from Imphals din and bustle yet close enough to the city to make travel convenient for attendees."
W.I.P alt.FEST,Multiarts,Delhi,Delhi NCR,01 Dec 2024,15 Dec 2024,"The W.I.P Alt Festival is a groundbreaking international arts festival dedicated to showcasing alternative, and experimental works across all disciplines – music, film, performance, visual arts, movement explorations and more."
Vivaan – Handpan & World Music Festival,Music,Goa,Goa,14 Feb 2025,16 Feb 2025,"Vivaan is a unique gathering where music, art, and nature converge to create an immersive and soulful experience. Since its inception in 2017,the festival has celebrated the universal language of sound, highlighting its ability to heal, uplift, and foster deep connections."
Vh1 Supersonic,Music,Pune,Maharashtra,16 Feb 2024,18 Feb 2024,"Vh1 Supersonic goes far beyond being a celebration of music. The expanse of its grounds accommodates five grand stages, complemented by an impressive array of over 75+ stalls, 30+ delectable food vendors, 60+ distinguished liquor brands, 80+ fashionable boutiques, and an array of other captivating attractions. These offerings converge to curate an enthralling and immersive experience for an extensive gathering of over 70,000 attendees."
The Sound of Energy by Amarrass Nights,Music,New Delhi,Delhi NCR,16 Mar 2024,,"Since its inception in 2009, Amarrass Records and Amarrass Society for Performing Arts have been striving to create sustainable ecosystems that preserve, promote and nurture folk and traditional forms of music and arts. As part of this initiative, Amarrass Nights has become an integral platform to showcase young artists, as well as living legends, held at iconic locations across Delhi."
The Soul Local,Music,Kolkata,West Bengal,21 Dec 2024,22 Dec 2024,"The Soul Local is a multi-genre music and art festival that has become a hallmark of Kolkatas event calendar. Launched in 2016 byCalcutta Cacophony,the event began as a modest passion project on a terrace, celebrating the citys unique cultural fabric. Over the years, it has grown into a two-day spectacle, with an eclectic mix of music, art, and immersive experiences. As of 2024, The Soul Local has completed four editions, each growing in scale and impact. The festival has transitioned from its humble beginnings to hosting large-scale events at prominent venues, most recently drawing over 20,000 attendees at Gitanjali Stadium. The fifth edition, scheduled for December 21st and 22nd, 2024, at Aquatica grounds, promises to be the most ambitious yet, marking a significant milestone as it coincides with the 10th anniversary of Calcutta Cacophony."
The Sacred Pushkar,Music,Pushkar,Rajasthan,12 Oct 2018,14 Oct 2018,"The Sacred Pushkar, which bears the tagline A Festival of Mind, Body and Soul puts a focus on mindful living with a promise to centre your inner with the outer world. The annual two-day event includes music concerts, meditation and yoga sessions, and food and heritage walks that celebrate its location in the historic town of Pushkar. Indian classical, folk and Sufi musicians such as Bhawani Shankar, Bombay Jayashri, Kavita Seth, Mukhtiyar Ali, Vikku Vinayakram have performed at previous editions of the festivals. The third and most recent instalment of The Sacred Pushkar took place in 2018."
The Outback Festival,Music,Leh,Ladakh,14 Sep 2024,15 Sep 2024,"Leh, Ladakh was abuzz with excitement in September 2023 as adventure enthusiasts from across the country gathered for the 2nd edition of the extraordinary Outback Festival. This one-of-a-kind event embodied the essence of Adventure, Music, the Outdoors, and Community, creating an unparalleled experience at a breathtaking elevation of 11,500 feet above sea level. The festival proudly claims to be the worlds highest motorable adventure and music festival."
The Kavi Collective,Folk Arts,New Delhi,Delhi NCR,23 Dec 2023,,"The Kavi Collective presents an exquisite celebration of Indias poetic legacy. Brace yourself, Delhi, for an enchanting evening curated by Red FM to conclude 2023. Dr. Kumar Vishwas, a renowned Hindi poet, politician, and speaker, alongside talented artists Manu, Vaishali, Chandan Rai, Ramesh, Muskan, and Kushal Kushwaha, will showcase their talent at this years Kavi Collective."
The Great Indian Beatbox Festival,Music,Mumbai,Maharashtra,17 Dec 2022,18 Dec 2022,"Organised byBBXINDIA, The Great Indian Beatbox Festival aims to grow beatboxing culture in India, combine all the components of hip-hop and other art forms, and produce an extraordinary experience."
Terrain Riders Festival,Multiarts,Thane,Maharashtra,29 Oct 2023,,
TCS Ruhaniyat,Music,Bengaluru,Karnataka,24 Jan 2025,,"TCS Ruhaniyat is a music festival organised byBanyan Tree Eventsthat features the works of Sufi saints and mystics from around the world. Carriers of living spiritual and cultural traditions including fakirs, Bauls, Kabirpanthis, qawwals, shabad singers, Warkaris, zikir-jari singers and folk exponents from across India perform at thefestival, which has also featured artists from Belgium, Bulgaria, Egypt, Iran, Mongolia, Norway, Senegal, Siberia, Sudan and Turkey since its launch in 2001. The festival is held in collaboration with Tollygunge Club in Kolkata, Empress Gardens, Telengana Tourism and the Chhatrapati Shivaji Maharaj Vastu Sangrahalaya (CSMVS)."
Symphony Orchestra of India Seasons,Music,Mumbai,Maharashtra,02 Feb 2024,16 Feb 2024,"The Symphony Orchestra of India (SOI), based at the National Centre for the Performing Arts (NCPA), Mumbai, is Indias first and only professional orchestra. It was founded in 2006 by NCPA Chairman Khushroo N. Suntook and internationally-renowned violin virtuoso Marat Bisengaliev, who serves as the Orchestras Music Director."
Swag Fest,Music,Delhi,Delhi NCR,11 Mar 2023,,"Organised by Indias leading private radio and entertainment network93.5 Red FM, Swag Fest is one of the largest Punjabi-pop music festivals in Delhi. An established IP of Red FM, the Swag Fest was launched in 2016 and has hosted Punjabi artists like Diljit Dosanjh, Parmish Verma, Guru Randhawa, Neha Bhasin, B Praak, Jassi Gill, Babbal Rai, Milind Gaba, Bohemia, Jas Manak and many others. The fifth edition of the festival brings you the most scintillating day-long musical extravaganza featuring performances by Rapper Naveen Kumar, DJ Tarun, Sid K, MC Square and Millind Gaba, with the sensational rapper and music producer, Yo Yo Honey Singh headlining the event. Besides an exciting musical evening, thefestalso offers an elaborate spread of cuisines and drinks, as well as a well-curated flea market."
Sur Jahan,Music,Kolkata,West Bengal,31 Jan 2025,02 Feb 2025,"Sur Jahan, the annual signature festival ofbanglanatak dot com, celebrates the unifying power of music in bringing peace. In its12th edition,Sur Jahan 2025 will be held across Kolkata (31 January to 02 February), Bannabagram (04 February), and Goa (07 to 08 February). The festival features internationally renowned bands Umbra Ensemble (Iceland), Folkcorn (Netherlands), and the Ale Moller Trio (Sweden), blending medieval, folk, and contemporary music with unique instruments."
Sunderban Mela,Arts and Crafts,Sunderbans,West Bengal,25 Oct 2023,27 Oct 2023,"The Sunderban Mela celebrates the diverse arts and crafts of the Sunderbans, a mangrove area at the confluence of the Ganges, Brahmaputra, and Meghna rivers in the Bay of Bengal. This festival highlights the unique cultural landscape of the region and is dedicated to showcasing the Intangible Cultural Heritage (ICH)-based crafts and performing arts of the Sunderbans. The festival features various folk art forms such as Bhatiyali, Bonbibir Pala, Jhumur, shola work, Chau dance and Baul songs. Bhatiyali, a mystic form of folk music sung by boatmen while sailing down the rivers, has 150 practicing artists in Jogeshganj Block in the Sunderbans. Bonbibir Pala, a mythology-based folk drama, is practised by 18 groups residing in Jameshpur, Bali, Rangabelia and Jameshgunj. Jhumur, introduced by groups of migrants from Chota Nagpur Plateau during the British rule, is currently practiced by 17 groups in different parts of the Sunderbans, especially Jameshpur and Dayapur."
