Months,2021,2022,2023,Growth 2022/21 (%),Growth 2023/22 (%)
January,581000,731848,1598012,26,118.4
February,541430,745608,1492091,37.7,100.1
March,613085,1013967,1505653,65.3,48.5
April,491807,1142523,1385508,132.3,21.3
May,224663,1118772,1381956,398,23.5
June,253543,1320293,1682396,420.7,27.4
July,411527,1538050,1706540,273.7,10.9
August,457561,1100609,1372177,140.5,24.7
September,550855,1047229,1255687,90.1,19.9
October,845186,1305864,1546528,54.5,18.4
November,947525,1448754,1842456,52.9,27.2
December,1091453,1816160,2130206,66.4,17.3
,,,,,
