month,high temperature (°C),low temperature (°C),rainfall (mm),sunrise,sunset
January,22.0,9.0,7.3,06:37 ~ 06:33,17:10 ~ 17:33
February,27.0,12.0,11.2,06:33 ~ 06:14,17:33 ~ 17:51
March,33.0,17.0,10.0,06:13 ~ 05:42,17:51 ~ 18:06
April,37.0,22.0,11.6,05:41 ~ 05:14,18:06 ~ 18:20
May,38.0,25.0,41.8,05:13 ~ 04:59,18:20 ~ 18:36
June,36.0,27.0,105.9,04:58 ~ 05:02,18:36 ~ 18:45
July,33.0,26.0,185.9,05:02 ~ 05:15,18:45 ~ 18:36
August,33.0,26.0,185.3,05:16 ~ 05:29,18:35 ~ 18:09
September,33.0,25.0,118.8,05:30 ~ 05:41,18:08 ~ 17:37
October,32.0,22.0,41.0,05:42 ~ 05:57,17:36 ~ 17:09
November,29.0,15.0,1.1,05:58 ~ 06:18,17:08 ~ 16:58
December,24.0,10.0,0.3,06:19 ~ 06:35,16:58 ~ 17:10
