city,state,month,Avg. Temperature (°C),Min Temperature (°C),Max Temperature (°C),Rainfall (mm),Humidity (%),Rainy days (d),avg. Sun hours (hours)
Itanagar,Arunachal Pradesh,January,14.5,10.4,19.0,32.0,74.0,5,8.0
Itanagar,Arunachal Pradesh,February,16.2,12.3,20.4,75.0,73.0,8,8.0
Itanagar,Arunachal Pradesh,March,18.8,14.9,22.7,166.0,73.0,11,8.0
Itanagar,Arunachal Pradesh,April,20.9,17.9,24.0,327.0,82.0,15,7.0
Itanagar,Arunachal Pradesh,May,23.0,20.5,26.0,406.0,85.0,17,8.0
Itanagar,Arunachal Pradesh,June,24.7,22.8,27.3,501.0,88.0,20,8.0
Itanagar,Arunachal Pradesh,July,25.2,23.4,27.6,453.0,89.0,21,8.0
Itanagar,Arunachal Pradesh,August,25.4,23.4,28.0,370.0,88.0,20,8.0
Itanagar,Arunachal Pradesh,September,24.6,22.4,27.3,305.0,87.0,18,8.0
Itanagar,Arunachal Pradesh,October,22.3,19.2,25.8,118.0,81.0,9,9.0
Itanagar,Arunachal Pradesh,November,18.8,15.0,23.1,20.0,74.0,3,8.0
Itanagar,Arunachal Pradesh,December,15.7,11.8,20.3,16.0,74.0,2,8.0
Patna,Bihar,January,16.2,10.6,22.1,17.0,69.0,2,9.0
Patna,Bihar,February,19.9,13.6,26.2,17.0,60.0,2,10.0
Patna,Bihar,March,25.6,18.4,32.5,10.0,43.0,2,11.0
Patna,Bihar,April,30.6,23.4,37.6,12.0,36.0,2,11.0
Patna,Bihar,May,31.9,25.9,37.7,32.0,50.0,4,11.0
Patna,Bihar,June,31.2,27.0,35.7,175.0,65.0,11,10.0
Patna,Bihar,July,28.8,26.3,32.0,323.0,81.0,19,8.0
Patna,Bihar,August,28.6,26.1,31.8,281.0,83.0,20,8.0
Patna,Bihar,September,27.8,25.2,31.1,197.0,83.0,15,8.0
Patna,Bihar,October,25.8,21.7,30.1,52.0,77.0,4,9.0
Patna,Bihar,November,22.0,16.5,27.7,6.0,65.0,1,9.0
Patna,Bihar,December,17.9,12.2,23.8,8.0,67.0,1,9.0
Chandigarh,Chandigarh,January,12.2,6.4,18.5,40.0,71.0,3,8.0
Chandigarh,Chandigarh,February,15.4,8.9,21.9,50.0,63.0,4,9.0
Chandigarh,Chandigarh,March,20.8,13.0,28.0,39.0,48.0,4,11.0
Chandigarh,Chandigarh,April,27.5,18.6,35.1,25.0,29.0,4,12.0
Chandigarh,Chandigarh,May,31.3,23.0,38.3,28.0,29.0,5,12.0
Chandigarh,Chandigarh,June,31.7,25.7,36.9,89.0,45.0,8,12.0
Chandigarh,Chandigarh,July,28.8,25.5,32.4,195.0,75.0,16,10.0
Chandigarh,Chandigarh,August,27.7,24.7,31.2,193.0,80.0,16,10.0
Chandigarh,Chandigarh,September,26.7,22.3,31.2,100.0,73.0,8,10.0
Chandigarh,Chandigarh,October,23.7,16.9,30.6,14.0,54.0,2,10.0
Chandigarh,Chandigarh,November,18.8,12.2,26.0,6.0,55.0,1,9.0
Chandigarh,Chandigarh,December,14.0,7.9,20.9,13.0,65.0,2,9.0
Dispur,Assam,January,16.8,10.9,22.3,13.0,72.0,2,7.0
Dispur,Assam,February,19.4,13.1,25.2,26.0,65.0,4,9.0
Dispur,Assam,March,23.3,17.0,29.1,68.0,56.0,7,10.0
Dispur,Assam,April,24.8,20.2,29.6,179.0,71.0,14,8.0
Dispur,Assam,May,25.7,22.3,29.6,323.0,82.0,20,8.0
Dispur,Assam,June,26.7,24.3,29.8,551.0,87.0,20,8.0
Dispur,Assam,July,26.9,24.8,29.8,690.0,89.0,21,8.0
Dispur,Assam,August,27.0,24.6,30.1,618.0,88.0,21,8.0
Dispur,Assam,September,26.3,23.6,29.5,398.0,87.0,19,8.0
Dispur,Assam,October,24.5,20.6,28.3,141.0,83.0,11,8.0
Dispur,Assam,November,21.2,16.1,26.0,21.0,76.0,2,8.0
Dispur,Assam,December,18.1,12.5,23.3,10.0,74.0,2,8.0
Gandhinagar,Gujarat,January,20.0,13.5,27.3,1.0,43.0,0,10.0
Gandhinagar,Gujarat,February,22.6,15.4,30.0,1.0,39.0,0,10.0
Gandhinagar,Gujarat,March,27.1,19.3,34.7,1.0,30.0,0,11.0
Gandhinagar,Gujarat,April,31.3,23.4,38.9,1.0,29.0,0,11.0
Gandhinagar,Gujarat,May,33.2,26.4,40.2,2.0,40.0,0,11.0
Gandhinagar,Gujarat,June,32.0,27.5,37.2,73.0,56.0,5,9.0
Gandhinagar,Gujarat,July,28.5,25.9,31.7,323.0,76.0,15,7.0
Gandhinagar,Gujarat,August,27.3,24.9,30.3,238.0,80.0,16,6.0
Gandhinagar,Gujarat,September,27.9,24.3,31.9,108.0,73.0,7,8.0
Gandhinagar,Gujarat,October,27.8,21.8,34.2,17.0,51.0,2,10.0
Gandhinagar,Gujarat,November,24.8,18.5,31.7,3.0,45.0,1,10.0
Gandhinagar,Gujarat,December,21.1,14.9,28.3,1.0,46.0,0,10.0
Shillong,Meghalaya,January,12.1,7.4,16.9,25.0,73.0,4,7.0
Shillong,Meghalaya,February,14.1,9.1,19.0,48.0,70.0,7,8.0
Shillong,Meghalaya,March,16.9,11.9,21.7,128.0,68.0,12,8.0
